Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_Fast,EMA_Slow,MACD,Signal
194.30999755859375,194.52999877929688,189.5399932861328,191.16000366210938,36334900,0.0,0.0,,,191.16000366210938,191.16000366210938,0.0,0.0
190.67999267578125,190.89999389648438,187.33999633789062,187.97000122070312,36002300,0.0,0.0,,,190.6692340557392,190.92370718496818,-0.2544731292289839,-0.050894625845796786
187.13999938964844,188.49000549316406,184.64999389648438,186.3300018310547,41583900,0.0,0.0,,,190.00165986732617,190.58343271430792,-0.5817728469817496,-0.15707027007298735
184.89999389648438,186.19000244140625,183.4499969482422,185.1300048828125,36044900,0.0,0.0,,,189.2521744850933,190.17947509716012,-0.9273006120668299,-0.3111163384717559
184.44000244140625,186.60000610351562,184.0399932861328,184.75999450683594,23704100,0.0,0.0,187.07000122070312,,188.5610698730537,189.77803209046945,-1.2169622174157553,-0.4922855142605558
183.0500030517578,183.44000244140625,180.8800048828125,181.9600067138672,30204300,0.0,0.0,185.2300018310547,,187.5455216947173,189.19891909961,-1.6533974048927007,-0.7245078923869848
185.75,187.60000610351562,183.60000610351562,186.50999450683594,40890300,0.0,0.0,184.93800048828126,,187.38620981965863,188.99973950014527,-1.6135296804866357,-0.902312250006915
182.9499969482422,183.60000610351562,180.25,180.8000030517578,42364200,0.0,0.0,183.83200073242188,,186.37294723998156,188.39235161507952,-2.019404375097963,-1.1257306750251246
181.9199981689453,183.08999633789062,180.9199981689453,182.72000122070312,26372100,0.0,0.0,183.35,,185.81095554470795,187.97217751179235,-2.1612219670844013,-1.3328289334369798
182.82000732421875,185.85000610351562,182.0500030517578,185.1699981689453,26343100,0.0,0.0,183.43200073242187,,185.71234671766754,187.76460867158144,-2.0522619539138987,-1.4767155375323637
187.1300048828125,188.1300048828125,185.8300018310547,186.64999389648438,27785000,0.0,0.0,184.3699981689453,,185.8566001297932,187.68204461416687,-1.8254444843736621,-1.5464613269006233
186.6300048828125,189.92999267578125,186.3000030517578,188.82000732421875,25751600,0.0,0.0,184.83200073242188,,186.3125089289356,187.76633814824478,-1.4538292193091706,-1.5279349053823328
189.77999877929688,189.8300018310547,187.36000061035156,187.5399932861328,22614400,0.0,0.0,186.17999877929688,,186.50135267619672,187.74957186216244,-1.2482191859657235,-1.471991761499011
187.6300048828125,188.41000366210938,184.5800018310547,187.69000244140625,32178900,0.0,0.0,187.1739990234375,,186.68422187084434,187.7451593124768,-1.0609374416324613,-1.389780897525701
187.0500030517578,187.77999877929688,185.61000061035156,186.88999938964844,23456800,0.0,0.0,187.51799926757812,42.81386181836858,186.71587995066034,187.68181413300803,-0.965934182347695,-1.3050115544901
188.22000122070312,188.94000244140625,186.0,187.52999877929688,25039400,0.0,0.0,187.69400024414062,49.18998088718947,186.8411290012198,187.67056855125168,-0.8294395500318785,-1.2098971535984557
187.14999389648438,190.74000549316406,186.27999877929688,188.99000549316406,37417700,0.0,0.0,187.72799987792968,54.92958224416089,187.17172538459585,187.76830462102296,-0.5965792364271181,-1.0872335701641882
188.0500030517578,189.4600067138672,186.39999389648438,189.07000732421875,24639400,0.0,0.0,188.03400268554688,57.61794281438928,187.46376875992246,187.86472704348193,-0.4009582835594756,-0.9499785128432457
188.35000610351562,191.52000427246094,186.97999572753906,189.6999969482422,29650600,0.0,0.0,188.43600158691407,59.456361724500525,187.80780386581782,188.00067296235306,-0.1928690965352473,-0.7985566295816462
188.85000610351562,189.16000366210938,183.69000244140625,184.7100067138672,31937100,0.0,0.0,188.0000030517578,54.85694142909809,187.33121968859464,187.75691990690964,-0.4257002183150007,-0.7239853473283171
185.25,187.11000061035156,183.86000061035156,186.3800048828125,21647400,0.0,0.0,187.77000427246094,49.74441686302676,187.18487894924357,187.65492620142095,-0.4700472521773804,-0.6731977282981298
187.85000610351562,190.4499969482422,187.52999877929688,187.8300018310547,26968889,0.0,0.0,187.53800354003906,66.60367104464618,187.28412862336836,187.667894766579,-0.38376614321063585,-0.615311411280631
