Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI
149.9199981689453,151.5,147.52000427246094,151.16000366210938,29607700,0.0,0.0,,
153.8000030517578,154.82000732421875,152.64999389648438,154.69000244140625,29695000,0.0,0.0,,
155.42999267578125,158.3800048828125,155.2100067138672,157.4600067138672,29591200,0.0,0.0,,
157.30999755859375,158.25,156.60000610351562,158.05999755859375,18379800,0.0,0.0,,
159.02000427246094,160.5500030517578,158.3800048828125,159.32000732421875,20715600,0.0,0.0,156.13800354003905,
159.86000061035156,160.5,158.60000610351562,159.80999755859375,23677300,0.0,0.0,157.86800231933594,
163.7100067138672,163.7899932861328,161.33999633789062,162.13999938964844,26587700,0.0,0.0,159.35800170898438,
163.5,163.72999572753906,162.05999755859375,163.58999633789062,40896400,0.0,0.0,160.58399963378906,
164.35000610351562,165.49000549316406,161.6699981689453,161.85000610351562,24150900,0.0,0.0,161.34200134277344,
163.02999877929688,163.22000122070312,160.69000244140625,162.2899932861328,23332100,0.0,0.0,161.93599853515624,
161.47000122070312,162.80999755859375,161.3000030517578,161.49000549316406,18869200,0.0,0.0,162.27200012207032,
163.63999938964844,164.0800018310547,162.27999877929688,162.72999572753906,20319300,0.0,0.0,162.38999938964844,
162.80999755859375,165.6999969482422,162.6300048828125,163.9499969482422,21101300,0.0,0.0,162.46199951171874,
163.32000732421875,166.14999389648438,163.25999450683594,165.85000610351562,20413900,0.0,0.0,163.26199951171876,
167.69000244140625,169.16000366210938,164.5800018310547,166.99000549316406,28338100,0.0,0.0,164.202001953125,87.85278267310295
166.4199981689453,167.52000427246094,164.72999572753906,165.86000061035156,17760200,0.0,0.0,165.0760009765625,80.17293327914571
164.41000366210938,166.63999938964844,163.9199981689453,165.86000061035156,15073100,0.0,0.0,165.702001953125,76.68365754303784
168.05999755859375,168.22999572753906,165.47999572753906,167.05999755859375,19047400,0.0,0.0,166.32400207519532,77.53983728904727
167.72000122070312,168.47999572753906,162.75,162.97999572753906,22463100,0.0,0.0,165.75,59.55113895642714
163.94000244140625,164.72999572753906,162.8699951171875,164.3800048828125,23072700,0.0,0.0,165.22799987792968,61.38518337177812
163.4499969482422,164.83999633789062,159.74000549316406,161.86000061035156,31181800,0.0,0.0,164.4279998779297,49.30898552296427
160.8699951171875,163.07000732421875,160.39999389648438,162.0800018310547,14076700,0.0,0.0,163.6720001220703,46.0325911338581
162.1300048828125,162.33999633789062,161.23500061035156,162.22000122070312,1859225,0.0,0.0,162.7040008544922,51.061374849863256
