Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_Fast,EMA_Slow,MACD,Signal
182.78745310565412,183.6363328074632,181.05974991475895,182.7475128173828,16006100,0.0,0.0,,,182.7475128173828,182.7475128173828,0.0,0.0
181.8087471021279,185.32408660139896,181.31939097308685,184.99452209472656,17372500,0.0,0.0,,,183.09320655235877,182.91395794903792,0.17924860332084336,0.03584972066416867
184.60504519904944,185.8433922139529,183.75616551293737,185.57376098632812,10242100,0.0,0.0,,,183.47483031143096,183.1109803962446,0.3638499151863641,0.10144975956860776
185.61370322103716,190.6070773362716,185.55378516982532,190.34742736816406,20967500,0.0,0.0,,,184.53215293554376,183.64701350527565,0.8851394302681115,0.2581876937085085
189.6483374343796,189.91798389577082,187.53115174577567,188.7794952392578,21035900,0.0,0.0,186.48854370117186,,185.18559021303824,184.02719733742248,1.1583928756157604,0.43822873008995894
190.057807857725,191.1064194956899,188.46991850688696,188.7295684814453,15121400,0.0,0.0,187.68495483398436,,185.73081763894703,184.3755211258686,1.3552965130784287,0.621642286687653
188.89932717256542,191.49588767717452,188.7794910761756,190.9266357421875,15952500,0.0,0.0,188.87137756347656,,186.5301742702148,184.86078887522555,1.6693853949892343,0.8311909083479694
189.59842375980418,190.60707985854427,184.83474052403432,185.3240966796875,25625800,0.0,0.0,188.82144470214843,,186.34462387167213,184.89510797185235,1.4495158998197724,0.9548559066423301
184.83473406974653,186.86204269748123,184.24551959418326,184.8247528076172,22898400,0.0,0.0,187.71690979003907,,186.1107975541252,184.8898964782053,1.220901075919926,1.0080649404978492
184.67493938335474,187.9905469835248,184.67493938335474,186.28280639648438,16474000,0.0,0.0,187.2175720214844,,186.1372604529497,184.9930749906704,1.144185462279296,1.0352890448541385
187.11171332151957,188.42995614885075,183.1269953371252,183.67626953125,18290700,0.0,0.0,186.2069122314453,,185.7586464649959,184.89553384552818,0.8631126194677279,1.0008537597768563
182.72753370807445,183.3067669344379,179.66159468485964,180.78012084960938,20734100,0.0,0.0,184.1776092529297,,184.99271944724413,184.5906884384231,0.4020310088210408,0.8810892095856933
181.68890023555213,182.2581521897809,176.23614432555468,177.45452880859375,25315700,0.0,0.0,182.60369567871095,,183.8329978105287,184.0620840213987,-0.22908621087000824,0.659054125494553
178.64296033005778,180.0510802737329,176.89527935932878,177.42457580566406,18881900,0.0,0.0,181.1236602783203,,182.8470867328572,183.57041674615908,-0.7233300133018759,0.38257729773526716
180.35067440681686,182.45787879683022,179.99115087738343,181.4292449951172,24100300,0.0,0.0,180.15294799804687,47.929704761147065,182.62895723474335,183.41181143126707,-0.782854196523715,0.14949099888347073
181.80875272844077,183.3666829983277,181.29941882119968,181.54908752441406,36352700,0.0,0.0,179.72751159667968,44.20165702159305,182.46282343315423,183.2738318826113,-0.8110084494570629,-0.042608890784636005
173.36994560122014,175.95650958981648,171.59230573551113,172.40122985839844,49585200,0.0,0.0,178.0517333984375,32.79410809192633,180.91488596011487,182.46845395489183,-1.5535679947769552,-0.3448007115830999
172.29138052237903,173.19018174569757,166.96844201717863,167.05831909179688,44852000,0.0,0.0,175.9724914550781,20.025632696731734,178.78310644191208,181.32696248355145,-2.5438560416393727,-0.7846117775943545
166.92848164345065,167.86723836504683,163.8425802626385,166.7786865234375,41336900,0.0,0.0,173.84331359863282,20.712506048050457,176.9362726083006,180.2493124124319,-3.3130398041312787,-1.2902973829017395
168.6062742908566,170.204144884371,167.7673910863689,169.3053436279297,20293800,0.0,0.0,171.4185333251953,25.74203880401791,175.7622835343974,179.4386480580243,-3.6763645236269156,-1.7675108110467748
170.01440950376085,171.00308783835192,168.21679175191073,170.0643310546875,18959700,0.0,0.0,169.12158203125,22.97539616841516,174.88567546059585,178.74425420592527,-3.8585787453294245,-2.185724397903305
173.0104271911881,174.01908324953334,169.78469662747654,171.3126678466797,25729100,0.0,0.0,168.90386962890625,29.54208735305218,174.3359819815318,178.19376632746264,-3.8577843459308383,-2.5201363875088116
170.024387993059,173.81935535427417,168.6562083669017,170.53370666503906,24531400,0.0,0.0,169.59894714355468,29.30282059282922,173.7510165482252,177.62635450061646,-3.8753379523912486,-2.791176700485299
166.21943827132955,168.2866872096547,164.45177958597304,166.43914794921875,29130100,0.0,0.0,169.53103942871093,23.300169174167266,172.6261136868396,176.79767253384625,-4.171558847006651,-3.0672531297895698
155.2939402342217,164.2120993910372,154.72468825132592,159.03897094726562,53630700,0.0,0.0,167.47776489257814,20.637923183571203,170.53578403459744,175.4822131570625,-4.946429122465048,-3.4430883283246656
159.11886106034058,160.3572233242791,156.20273241161613,158.08023071289062,49004600,0.0,0.0,165.08094482421876,21.63710379150642,168.61954506202716,174.19317742045715,-5.57363235842999,-3.8691971343457308
161.0363063938684,162.76400947628738,158.25999175698507,158.7293701171875,25138600,0.0,0.0,162.5642852783203,24.92642437586376,167.097979685898,173.04771021280754,-5.949730526909548,-4.285303812858494
160.29728713235718,163.47308092972898,159.99769688233283,161.81527709960938,25578800,0.0,0.0,160.8205993652344,30.679828678292836,166.28525621108437,172.21567813034844,-5.930421919264063,-4.614327434139608
159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,0.0,0.0,160.2233917236328,26.365563751452484,165.84954136956537,171.5665989904123,-5.71705762084693,-4.834873471481073
164.13220346738748,164.68146239642743,161.62552005846075,162.07492065429688,15895300,0.0,0.0,160.83058166503906,25.216067759035667,165.26883049029328,170.8635117062556,-5.594681215962311,-4.98683502037732
