Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI
415.5,423.989990234375,409.5799865722656,423.0400085449219,19266900,0.0,0.0,,
423.30999755859375,427.3699951171875,419.75,427.0,17418800,0.0,0.0,,
425.8299865722656,431.8299865722656,425.4599914550781,430.5899963378906,15874600,0.0,0.0,,
430.6000061035156,433.5299987792969,428.2200012207031,431.3399963378906,13834700,0.0,0.0,,
440.2300109863281,441.8500061035156,432.2699890136719,435.1499938964844,18874200,0.0,0.0,429.4239990234375,
435.0,436.0299987792969,430.4100036621094,430.80999755859375,18898000,0.0,0.0,430.9779968261719,
441.2300109863281,441.5,436.8999938964844,438.69000244140625,21706600,0.0,0.0,433.3159973144531,
437.2200012207031,439.239990234375,434.2200012207031,435.2699890136719,55167100,0.0,0.0,434.2519958496094,
434.2799987792969,436.4599914550781,430.3900146484375,433.510009765625,15128900,0.0,0.0,434.6859985351563,
433.0,433.3500061035156,426.1000061035156,429.1700134277344,17015800,0.0,0.0,433.49000244140626,
429.8299865722656,433.1199951171875,428.57000732421875,432.1099853515625,13396400,0.0,0.0,433.75,
435.0899963378906,435.29998779296875,429.1300048828125,431.30999755859375,14492000,0.0,0.0,432.2739990234375,
431.5199890136719,431.8500061035156,427.4700012207031,428.0199890136719,14896100,0.0,0.0,430.8239990234375,
428.2099914550781,430.4200134277344,425.3699951171875,430.29998779296875,16807300,0.0,0.0,430.18199462890624,
428.45001220703125,428.4800109863281,418.80999755859375,420.69000244140625,19092900,0.0,0.0,428.4859924316406,47.77334725141904
422.5799865722656,422.82000732421875,416.7099914550781,417.1300048828125,16582300,0.0,0.0,425.4899963378906,40.57665883087867
417.6300048828125,419.54998779296875,414.2900085449219,416.5400085449219,13686400,0.0,0.0,422.53599853515624,35.77070432216519
418.239990234375,419.75,414.9700012207031,416.05999755859375,19169700,0.0,0.0,420.1440002441406,34.439902368502345
416.0,417.1099853515625,409.0,409.5400085449219,20919800,0.0,0.0,415.99200439453125,25.2846779304804
410.8999938964844,415.6600036621094,408.1700134277344,414.7099914550781,19229300,0.0,0.0,414.79600219726564,34.70741866943396
415.8599853515625,420.3800048828125,414.29998779296875,417.4599914550781,14974300,0.0,0.0,414.86199951171875,27.65728527336435
415.2300109863281,417.3500061035156,413.1499938964844,415.8399963378906,13807800,0.0,0.0,414.7219970703125,28.74640644883037
415.9100036621094,416.0,413.2699890136719,415.1400146484375,1588562,0.0,0.0,414.5380004882812,29.428851853066945
